DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,NR_TURNO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,TP_ABRANGENCIA,SG_UF,SG_UE,NM_UE,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,NR_SECAO,CD_CARGO,DS_CARGO,NR_VOTAVEL,NM_VOTAVEL,QT_VOTOS,NR_LOCAL_VOTACAO,SQ_CANDIDATO
04/10/2022,21:02:14,2022,2,ELEIÇÃO ORDINÁRIA,1,546,ELEIÇÕES GERAIS ESTADUAIS 2022,02/10/2022,E,PR,PR,PARANÁ,74012,ABATIÁ,82,10,3,GOVERNADOR,33,SOLANGE FERREIRA BUENO,1,1023,160001717338
04/10/2022,21:02:14,2022,2,ELEIÇÃO ORDINÁRIA,1,546,ELEIÇÕES GERAIS ESTADUAIS 2022,02/10/2022,E,PR,PR,PARANÁ,74012,ABATIÁ,82,52,3,GOVERNADOR,33,SOLANGE FERREIRA BUENO,1,1031,160001717338
04/10/2022,21:02:14,2022,2,ELEIÇÃO ORDINÁRIA,1,546,ELEIÇÕES GERAIS ESTADUAIS 2022,02/10/2022,E,PR,PR,PARANÁ,74012,ABATIÁ,82,5,3,GOVERNADOR,33,SOLANGE FERREIRA BUENO,1,1015,160001717338
04/10/2022,21:02:14,2022,2,ELEIÇÃO ORDINÁRIA,1,546,ELEIÇÕES GERAIS ESTADUAIS 2022,02/10/2022,E,PR,PR,PARANÁ,74012,ABATIÁ,82,57,3,GOVERNADOR,33,SOLANGE FERREIRA BUENO,1,1015,160001717338
04/10/2022,21:02:14,2022,2,ELEIÇÃO ORDINÁRIA,1,546,ELEIÇÕES GERAIS ESTADUAIS 2022,02/10/2022,E,PR,PR,PARANÁ,74012,ABATIÁ,82,8,3,GOVERNADOR,33,SOLANGE FERREIRA BUENO,1,1023,160001717338
04/10/2022,21:02:14,2022,2,ELEIÇÃO ORDINÁRIA,1,546,ELEIÇÕES GERAIS ESTADUAIS 2022,02/10/2022,E,PR,PR,PARANÁ,74012,ABATIÁ,82,52,3,GOVERNADOR,13,ROBERTO REQUIÃO DE MELLO E SILVA,100,1031,160001600815
04/10/2022,21:02:14,2022,2,ELEIÇÃO ORDINÁRIA,1,546,ELEIÇÕES GERAIS ESTADUAIS 2022,02/10/2022,E,PR,PR,PARANÁ,74012,ABATIÁ,82,59,3,GOVERNADOR,13,ROBERTO REQUIÃO DE MELLO E SILVA,95,1023,160001600815
04/10/2022,21:02:14,2022,2,ELEIÇÃO ORDINÁRIA,1,546,ELEIÇÕES GERAIS ESTADUAIS 2022,02/10/2022,E,PR,PR,PARANÁ,74012,ABATIÁ,82,5,3,GOVERNADOR,13,ROBERTO REQUIÃO DE MELLO E SILVA,83,1015,160001600815
04/10/2022,21:02:14,2022,2,ELEIÇÃO ORDINÁRIA,1,546,ELEIÇÕES GERAIS ESTADUAIS 2022,02/10/2022,E,PR,PR,PARANÁ,74012,ABATIÁ,82,67,3,GOVERNADOR,13,ROBERTO REQUIÃO DE MELLO E SILVA,100,1015,160001600815
04/10/2022,21:02:14,2022,2,ELEIÇÃO ORDINÁRIA,1,546,ELEIÇÕES GERAIS ESTADUAIS 2022,02/10/2022,E,PR,PR,PARANÁ,74012,ABATIÁ,82,9,3,GOVERNADOR,13,ROBERTO REQUIÃO DE MELLO E SILVA,68,1023,160001600815
